objid,ra,dec,u,g,r,i,z,redshift,redshift_err
1.23765E+18,123.7786684,49.49911657,22.68157,22.97681,21.45854,20.87717,19.91818,1.056824,0.000268461
1.23766E+18,325.8075052,1.04578956,22.43742,23.07342,22.56833,22.33998,21.2115,1.080576,0.000101513
1.23766E+18,333.9726503,-0.788914291,22.60917,23.10517,21.89997,21.27162,21.1556,1.041426,0.000126691
1.23766E+18,334.0379193,-0.754079421,22.11352,23.06889,21.50762,21.1796,20.57643,1.094883,8.90E-05
1.23766E+18,334.0751415,-0.774468627,24.14504,22.61436,21.98089,21.87897,20.4971,1.098117,9.35E-05
1.23766E+18,335.9741335,0.500846378,24.30157,22.62523,21.94797,21.44614,20.64327,1.016383,0.000256219
1.23766E+18,1.37362645,-0.523830283,22.22334,21.75352,20.94674,20.40212,20.26593,1.010191,5.01E-05
1.23766E+18,155.2692646,46.3082918,23.50186,22.96436,21.32643,20.64716,19.74657,1.017738,0.000357098
1.23766E+18,115.7551245,20.97509319,22.86422,22.76389,22.08033,21.53047,21.14984,1.007994,0.000133532
1.23766E+18,115.7527391,19.40347554,22.30308,22.27289,21.81579,22.01184,21.34865,1.21035,7.97E-05
1.23766E+18,115.4583698,19.77067793,24.39264,22.18383,21.81426,21.54778,21.11447,1.044602,9.64E-05
1.23766E+18,134.527304,29.7458278,23.73469,22.8472,22.57494,21.68873,20.62222,1.22412,0.00032432
1.23766E+18,141.1880611,32.28929364,21.83378,22.11835,21.35817,20.88859,20.46852,1.072684,0.000110241
1.23766E+18,137.0689066,31.24710451,24.09955,22.55149,22.94973,22.31295,21.99236,1.341198,0.000108165
1.23766E+18,213.0814072,53.78484975,24.08943,22.57065,22.19814,23.13883,21.52057,1.100269,7.80E-05
1.23767E+18,176.8387859,32.89250297,25.58066,23.12084,21.82367,20.61267,19.66478,1.045024,0.000348583
1.23767E+18,165.7419769,29.94603752,22.54261,22.61217,22.06582,21.64906,21.18205,1.035234,6.20E-05
1.23767E+18,165.7373648,26.48349668,25.02825,21.78342,21.39547,20.88343,20.321,1.048765,9.81E-05
1.23768E+18,28.09773315,3.528652954,22.93073,22.76762,22.35135,21.94222,21.33507,1.011715,9.67E-05
1.23768E+18,21.6157052,3.757527672,23.00266,22.22925,21.50477,20.97733,20.25592,1.025297,0.000186943
1.23768E+18,29.09067749,3.076921764,22.95531,22.54482,22.13034,21.7449,21.37466,1.074733,0.000147771
1.23768E+18,29.11110511,1.735133667,22.70248,22.35705,22.2186,21.83335,21.4359,1.164196,0.000134463
1.23768E+18,21.62923492,3.232465025,23.52722,23.19843,22.15998,21.903,21.42699,1.150644,0.000184323
1.23768E+18,349.363155,-1.871794988,22.0968,22.46135,22.41798,21.82679,21.39609,1.041756,0.000152229
1.23768E+18,340.7715719,-1.828099745,22.84595,22.47428,21.54665,21.00917,19.93832,1.042449,0.000162181
1.23768E+18,21.98946298,20.69866547,23.09455,22.07047,21.76836,21.39043,21.04812,1.16165,7.41E-05
1.23768E+18,16.59239422,-2.400932975,22.34213,22.24289,21.42381,21.20721,22.14995,1.015754,0.000180608
1.23768E+18,29.09924073,-3.921073478,22.16751,22.43814,21.38034,21.09521,19.95482,1.027182,0.000145611
1.23768E+18,29.51831485,-4.187763389,22.69991,22.42554,21.82514,21.78595,20.86946,1.008167,8.10E-05
1.23768E+18,38.92337985,-4.311834232,23.53789,22.71167,22.44207,21.98508,21.07788,1.020891,0.000202501
1.23768E+18,22.01286444,-2.370951674,23.6048,22.44186,22.15887,22.07811,22.02605,1.411881,0.00029627
1.23768E+18,22.01424742,-2.648617548,22.93961,22.5618,22.07874,21.45099,20.77888,1.000482,0.000102391
1.23768E+18,340.7718408,-1.621149259,24.56396,22.74911,21.91197,21.81811,21.43491,1.194438,0.00013314
1.23768E+18,334.0506864,-1.315941918,22.52531,22.23162,21.80393,21.91031,21.18678,1.091072,8.20E-05
1.23768E+18,38.95766216,4.680904013,24.6475,22.74003,22.43001,21.47704,22.2193,1.056803,9.94E-05
1.23768E+18,41.32187795,3.72974618,22.8937,22.81768,21.65175,21.16138,20.90668,1.044486,9.16E-05
1.23768E+18,41.08611771,3.781883157,23.123,22.70247,22.16662,21.7416,22.91319,1.043994,9.58E-05
1.23768E+18,38.97391024,4.845805751,24.3066,22.52414,22.25242,22.18444,21.74365,1.209111,0.000224346
