CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,objid_GAL,ra_GAL,dec_GAL,u_GAL,g_GAL,r_GAL,i_GAL,z_GAL,redshift_GAL,redshift_err_GAL,separation_arcmin,u_g,g_r,r_i,i_z
2011by,51,0.00349,0.00084,0.00369,2e-05,0.00313,2e-05,12.5403,0.55206,31.7933,0.55272,31.6336,1,0,0.011283,0.018909,-0.334036,0.044392,12.627,0.0234355,0.15967,0.00344642,-3.73833e-05,-2.98895e-05,-5.50824e-05,178.94,55.3256,-999,-999,-9.0,61.7743,250,0.0120014,10.417,0.002,55690.9,0.0344,79,85.1227,0.29882,0.0423,0.5236,-0.0499,0.003,1.0,0.007,2011by,1.237658802573345e+18,178.9378766,55.32073467,14.50217,13.11087,12.39992,12.01704,11.81684,0.002853319,1.555644e-05,0.30078465481390154,1.3912999999999993,0.7109500000000004,0.3828800000000001,0.5830800000000007
1998aq,50,0.00349,0.00084,0.00369,1e-05,0.00313,1e-05,12.2437,0.544824,31.4967,0.545492,31.7216,1,0,-0.118814,0.025128,-0.45159,0.036414,12.0503,0.0298815,0.27156,0.00747395,-9.3684e-05,6.31794e-06,-0.000154448,179.108,55.1287,-999,-999,-9.0,61.7743,250,0.0121395,10.199,-9.0,50931.4,0.0309,88,116.844,0.021547,0.0567,0.5236,0.055,0.005,1.0,0.003,1998aq,1.2376575908587766e+18,179.117242,55.12523382,13.49688,12.08309,11.42713,11.12287,10.94503,0.003713523,1.209686e-05,0.379175391596761,1.4137900000000005,0.6559600000000003,0.3042599999999993,0.48210000000000086
2007af,57,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,12.8137,0.32481,32.0667,0.32593,31.7708,1,0,-0.019682,0.025871,-0.533099,0.035089,12.8497,0.0365274,0.13006,0.00437545,-0.000183179,1.68008e-05,-8.85975e-05,215.588,-0.3938,-999,-999,-9.0,31.5763,250,0.0336987,10.331,-9.0,54174.5,0.049,47,102.956,4.62159e-06,0.0576,0.2928,-0.0342,0.002,1.0,0.004,2007af,1.2376487040542966e+18,215.5990601,-0.387646631,14.27148,12.97487,12.36285,12.01079,12.20652,0.005515854,1.12222e-05,0.7593830812335012,1.2966100000000012,0.6120199999999993,0.3520599999999998,0.15633000000000052
2007af,56,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,12.7493,0.36055,32.0023,0.36156,31.7708,1,0,0.031581,0.038354,-0.444525,0.044013,12.9062,0.0391511,0.12346,0.00445183,-0.000318319,1.22668e-05,-0.000131488,215.588,-0.3938,-999,-999,-9.0,31.5763,250,0.0336987,10.331,0.041,54174.5,0.0464,155,190.747,0.0268319,0.0935,0.2928,-0.0587,0.003,1.0,0.009,2007af,1.2376487040542966e+18,215.5990601,-0.387646631,14.27148,12.97487,12.36285,12.01079,12.20652,0.005515854,1.12222e-05,0.7593830812335012,1.2966100000000012,0.6120199999999993,0.3520599999999998,0.15633000000000052
2007af,5,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,12.8469,0.32168,32.0999,0.322811,31.7708,1,0,-0.046439,0.021801,-0.558,0.02594,12.8231,0.0310192,0.13328,0.00380788,-0.000143564,1.34585e-05,-5.91213e-05,215.588,-0.3938,-999,-999,-9.0,31.5763,250,0.0336987,10.331,0.3,54175.0,0.0305,77,124.844,0.000462785,0.0514,0.2928,-0.015,0.002,1.0,0.004,2007af,1.2376487040542966e+18,215.5990601,-0.387646631,14.27148,12.97487,12.36285,12.01079,12.20652,0.005515854,1.12222e-05,0.7593830812335012,1.2966100000000012,0.6120199999999993,0.3520599999999998,0.15633000000000052
2007af,64,0.00625,0.00084,0.00635,1e-05,0.00552,1e-05,12.7807,0.33809,32.0337,0.339166,31.7708,1,0,0.014649,0.02559,-0.393072,0.027079,12.8851,0.0361845,0.12587,0.00419504,-0.000155719,1.48801e-05,-8.61122e-05,215.588,-0.3938,-999,-999,-9.0,31.5763,250,0.0336987,10.331,0.216,54174.5,0.032,99,106.532,0.28456,0.0557,0.2928,-0.0512,0.003,1.0,0.008,2007af,1.2376487040542966e+18,215.5990601,-0.387646631,14.27148,12.97487,12.36285,12.01079,12.20652,0.005515854,1.12222e-05,0.7593830812335012,1.2966100000000012,0.6120199999999993,0.3520599999999998,0.15633000000000052
ASASSN-15so,150,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,13.4997,0.266214,32.7527,0.26758,32.8026,1,0,-0.055198,0.032438,-0.714413,0.078954,13.4883,0.0382032,0.0722262,0.00254138,-0.000243409,-9.98644e-06,-7.14252e-05,168.546,48.3187,-999,-999,-9.0,-249.339,250,0.01263,10.95,0.001,57345.3,0.1667,19,40.9933,0.00241842,0.0727,0.2137,0.0014,0.002,1.0,0.003,ASASSN-15so,1.23765820396988e+18,168.5453761,48.31851593,14.18628,12.49484,11.69262,11.21568,10.82126,0.00702235,1.056754e-05,0.027233132355860397,1.69144,0.8022200000000002,0.47693999999999903,0.8713599999999992
ASASSN-15so,150,0.00857,0.00084,0.00773,1e-05,0.00702,1e-05,13.4997,0.266214,32.7527,0.26758,32.8026,1,0,-0.055198,0.032438,-0.714413,0.078954,13.4883,0.0382032,0.0722262,0.00254138,-0.000243409,-9.98644e-06,-7.14252e-05,168.546,48.3187,-999,-999,-9.0,-249.339,250,0.01263,10.95,0.001,57345.3,0.1667,19,40.9933,0.00241842,0.0727,0.2137,0.0014,0.002,1.0,0.003,ASASSN-15so,1.23765820396988e+18,168.5642615,48.32619541,19.58382,18.14272,17.73271,17.49757,17.26662,0.007283576,2.22745e-05,0.8561893223591956,1.4410999999999987,0.41000999999999976,0.23514000000000124,0.4660900000000012
2009an,51,0.01026,0.00084,0.00921,1e-05,0.00887,1e-05,14.0848,0.305101,33.3378,0.306294,-9.0,0,0,0.009596,0.04244,-1.33873,0.23636,14.3202,0.0686209,0.0335684,0.0021216,0.00304291,-0.000113542,-7.67052e-05,185.697,65.8512,-999,-999,-9.0,-311.409,250,0.016006,10.5117,0.002,54897.2,0.7492,29,24.7624,0.69052,0.0782,0.1787,-0.0442,0.001,1.0,0.007,2009an,1.2376586082220114e+18,185.6948246,65.84377212,15.15033,13.32285,12.35414,11.86479,11.49781,0.00922117,8.299768e-06,0.44886128893485233,1.8274799999999995,0.9687100000000015,0.48934999999999995,0.8563299999999998
2009an,65,0.01026,0.00084,0.00921,1e-05,0.00887,1e-05,13.9723,0.297865,33.2253,0.299086,-9.0,0,0,0.010704,0.029822,-1.4709,0.10067,14.2304,0.0364578,0.0364625,0.00122437,0.000728,-4.31207e-05,-3.18857e-05,185.697,65.8512,-999,-999,-9.0,-311.409,250,0.016006,10.5117,0.017,54898.5,0.1127,48,10.1731,1.0,0.0624,0.1787,-0.0444,0.001,1.0,0.007,2009an,1.2376586082220114e+18,185.6948246,65.84377212,15.15033,13.32285,12.35414,11.86479,11.49781,0.00922117,8.299768e-06,0.44886128893485233,1.8274799999999995,0.9687100000000015,0.48934999999999995,0.8563299999999998
